point,density,population,area,location,density_type,Département,latitude,longitude,daynight,acq_date
"(42.466, 9.297)",8.475020865625371,3554.0,419.35,COMMUNAUTÉ DE COMMUNES DE LA VALLÉE DU GOLO,epci,20,42.466,9.297,D,2020-07-13
"(42.46100000000001, 9.274)",8.475020865625371,3554.0,419.35,COMMUNAUTÉ DE COMMUNES DE LA VALLÉE DU GOLO,epci,20,42.46100000000001,9.274,D,2020-07-13
"(42.47, 9.289)",8.475020865625371,3554.0,419.35,COMMUNAUTÉ DE COMMUNES DE LA VALLÉE DU GOLO,epci,20,42.47,9.289,D,2020-07-13
"(42.465, 9.267000000000001)",8.475020865625371,3554.0,419.35,COMMUNAUTÉ DE COMMUNES DE LA VALLÉE DU GOLO,epci,20,42.465,9.267000000000001,D,2020-07-13
"(48.041000000000004, 0.9840000000000001)",20.454630286290172,5480.0,267.91,CC COLLINES PERCHE,epci,41,48.041000000000004,0.9840000000000001,D,2020-07-18
"(48.035, 0.9570000000000001)",20.454630286290172,5480.0,267.91,CC COLLINES PERCHE,epci,41,48.035,0.9570000000000001,D,2020-07-18
"(48.707, 6.059)",67.31445655997186,7655.0,113.72,CC de Hazelle en Haye,epci,54,48.707,6.059,N,2020-07-31
"(42.553000000000004, 8.926)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.553000000000004,8.926,N,2020-08-03
"(42.553999999999995, 8.941)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.553999999999995,8.941,N,2020-08-03
"(42.553999999999995, 8.939)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.553999999999995,8.939,N,2020-08-04
"(42.544, 8.934)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.544,8.934,N,2020-08-04
"(42.553000000000004, 8.889)",18.65957446808511,10524.0,564.0,CC de Calvi Balagne,epci,20,42.553000000000004,8.889,D,2020-08-27
"(42.555, 8.853)",18.65957446808511,10524.0,564.0,CC de Calvi Balagne,epci,20,42.555,8.853,D,2020-08-27
"(42.553000000000004, 8.912)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.553000000000004,8.912,D,2020-08-27
"(42.555, 8.906)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.555,8.906,D,2020-08-27
"(47.51, 0.004)",85.15317776155601,36162.0,424.67000000000013,CC Baugeois Vallée,epci,49,47.51,0.004,D,2020-09-04
"(42.299, 9.277000000000001)",5.5555555555555545,720.0,129.6,"CC di E Tre Pieve : Boziu, Mercoriu e Rogna",epci,20,42.299,9.277000000000001,D,2020-09-06
"(42.28, 9.242)",5.5555555555555545,720.0,129.6,"CC di E Tre Pieve : Boziu, Mercoriu e Rogna",epci,20,42.28,9.242,D,2020-09-06
"(42.295, 9.257)",5.5555555555555545,720.0,129.6,"CC di E Tre Pieve : Boziu, Mercoriu e Rogna",epci,20,42.295,9.257,D,2020-09-06
"(48.57100000000001, 0.665)",31.470182320040674,8665.0,275.34000000000003,CC des Hauts du Perche,epci,61,48.57100000000001,0.665,D,2020-09-09
"(46.06800000000001, -0.7490000000000001)",66.29356452726017,30739.0,463.68,CC Aunis Sud,epci,17,46.06800000000001,-0.7490000000000001,D,2020-09-14
"(48.511, -1.348)",66.72847046505541,91773.0,1375.32,CA Mont-Saint-Michel-Normandie,epci,50,48.511,-1.348,D,2020-09-17
"(42.361999999999995, 8.906)",3.903330288182045,940.0,240.82,COMMUNAUTÉ DE COMMUNES DU NIOLU,epci,20,42.361999999999995,8.906,D,2020-10-01
"(41.933, 9.215)",18.344676046021913,12022.0,655.34,CC de la Pieve de l'Ornano,epci,20,41.933,9.215,D,2020-10-01
"(42.275, 9.166)",26.22037522209173,8707.0,332.07000000000005,CC DU CENTRE CORSE,epci,20,42.275,9.166,D,2020-10-01
"(42.599, 9.204)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.599,9.204,D,2020-10-08
"(42.596000000000004, 9.193)",27.749081283889694,10798.0,389.13000000000005,CC de l'Ile-Rousse - Balagne,epci,20,42.596000000000004,9.193,D,2020-10-08
"(42.603, 9.296)",9.796293459947924,3198.0,326.45,CC du Nebbiu,epci,20,42.603,9.296,D,2020-10-11
"(42.605, 9.308)",9.796293459947924,3198.0,326.45,CC du Nebbiu,epci,20,42.605,9.308,D,2020-10-11
"(47.18600000000001, -0.937)",235.284139100933,122056.0,518.76,CA Mauges Communauté,epci,49,47.18600000000001,-0.937,D,2020-10-14
"(47.178999999999995, -0.94)",235.284139100933,122056.0,518.76,CA Mauges Communauté,epci,49,47.178999999999995,-0.94,D,2020-10-14
